trial_index,key,label,order_position,elapsed_ms,returncode
34,efforts/knowledge-compositor/m7/design-trial,baseline,1,43.299006996676326,0
35,world/engineering/hypotheses/context-isolation-is-a-second-reason-to-split,m2,0,64.1351321246475,0
35,world/engineering/hypotheses/context-isolation-is-a-second-reason-to-split,baseline,1,41.963843861594796,0
36,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r14-stability,m2,0,61.61197111941874,0
36,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r14-stability,baseline,1,46.0485708899796,0
37,world/crew/observations/index,m2,0,65.45471586287022,0
37,world/crew/observations/index,baseline,1,43.35270612500608,0
38,efforts/multi-agent-orchestration/implementation/harness/m1/design/dispositions,m2,0,59.74275106564164,0
38,efforts/multi-agent-orchestration/implementation/harness/m1/design/dispositions,baseline,1,39.316490991041064,0
39,mind/ontology/relations/occupies-temporal-region,m2,0,63.230792991817,0
39,mind/ontology/relations/occupies-temporal-region,baseline,1,45.298040146008134,0
40,world/crew/lessons/pending-specialist-result-cited-as-evidence-before-returning,baseline,0,43.73265500180423,0
40,world/crew/lessons/pending-specialist-result-cited-as-evidence-before-returning,m2,1,62.42339592427015,0
41,efforts/why-plug-nvim/code-review/builtin-checklist,baseline,0,43.10212912969291,0
41,efforts/why-plug-nvim/code-review/builtin-checklist,m2,1,60.9003531280905,0
42,efforts/multi-agent-orchestration/implementation/harness/index,baseline,0,36.13579017110169,0
42,efforts/multi-agent-orchestration/implementation/harness/index,m2,1,60.08121301420033,0
43,efforts/knowledge-compositor/spec-acceptance,baseline,0,37.30638790875673,0
43,efforts/knowledge-compositor/spec-acceptance,m2,1,59.933256823569536,0
44,mind/dialectic/rulings/2026-08-29-grounded-semantics,m2,0,58.72914590872824,0
44,mind/dialectic/rulings/2026-08-29-grounded-semantics,baseline,1,38.20830211043358,0
45,mind/ontology/relations/is-concretized-by,baseline,0,35.57029599323869,0
45,mind/ontology/relations/is-concretized-by,m2,1,59.14193904027343,0
46,efforts/multi-agent-orchestration/implementation/harness/m1/requirements,m2,0,56.92817410454154,0
46,efforts/multi-agent-orchestration/implementation/harness/m1/requirements,baseline,1,35.51371116191149,0
47,efforts/multi-agent-orchestration/implementation/harness/m8/stage,m2,0,55.65313505940139,0
47,efforts/multi-agent-orchestration/implementation/harness/m8/stage,baseline,1,38.23323897086084,0
48,world/engineering/facts/postel-robustness-principle-wording,m2,0,59.588862117379904,0
48,world/engineering/facts/postel-robustness-principle-wording,baseline,1,37.75770007632673,0
49,world/crew/models/two-level-orchestration,baseline,0,41.45695804618299,0
49,world/crew/models/two-level-orchestration,m2,1,54.40205708146095,0
50,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-ambiguities,baseline,0,38.590786047279835,0
50,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-ambiguities,m2,1,54.68603898771107,0
51,world/crew/observations/2026-08-28-completion-report-pointed-at-untransmitted-tool-output,m2,0,54.26981998607516,0
51,world/crew/observations/2026-08-28-completion-report-pointed-at-untransmitted-tool-output,baseline,1,40.55324010550976,0
52,world/crew/individuals/index,m2,0,60.822966042906046,0
52,world/crew/individuals/index,baseline,1,38.60122594051063,0
53,efforts/why-plug-nvim/stage,m2,0,59.9446480628103,0
53,efforts/why-plug-nvim/stage,baseline,1,38.26581803150475,0
54,mind/ontology/concepts/quantity,m2,0,58.25651600025594,0
54,mind/ontology/concepts/quantity,baseline,1,38.24015101417899,0
55,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit-delivery-core-a,baseline,0,36.87445889227092,0
55,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit-delivery-core-a,m2,1,56.79028807207942,0
56,efforts/multi-agent-orchestration/implementation/scope-manager/stage,baseline,0,37.65859501436353,0
56,efforts/multi-agent-orchestration/implementation/scope-manager/stage,m2,1,69.32111387141049,0
57,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-index,m2,0,63.3394259493798,0
57,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-index,baseline,1,39.814759977161884,0
58,world/engineering/individuals/basecamp-3-rewrite,m2,0,66.20958587154746,0
58,world/engineering/individuals/basecamp-3-rewrite,baseline,1,41.94636014290154,0
59,world/crew/patterns/dual-altitude-reporting,baseline,0,43.979739071801305,0
59,world/crew/patterns/dual-altitude-reporting,m2,1,60.94736885279417,0
60,mind/ontology/concepts/software,baseline,0,41.126790922135115,0
60,mind/ontology/concepts/software,m2,1,63.397073186933994,0
61,mind/dialectic/facts/index,m2,0,60.66514109261334,0
61,mind/dialectic/facts/index,baseline,1,38.58513501472771,0
62,world/crew/concepts/role-boundary,baseline,0,44.5315889082849,0
62,world/crew/concepts/role-boundary,m2,1,61.20365718379617,0
63,efforts/knowledge-compositor/spec-problem,baseline,0,45.2349919360131,0
63,efforts/knowledge-compositor/spec-problem,m2,1,63.51868901401758,0
64,mind/dialectic/rulings/index,baseline,0,38.41951582580805,0
64,mind/dialectic/rulings/index,m2,1,59.78197208605707,0
65,world/crew/concepts/landed-behaviour,m2,0,58.562404941767454,0
65,world/crew/concepts/landed-behaviour,baseline,1,39.273391012102365,0
66,world/engineering/concepts/latency,m2,0,60.034594032913446,0
66,world/engineering/concepts/latency,baseline,1,40.663416031748056,0
67,mind/ontology/concepts/relation,m2,0,58.0170969478786,0
67,mind/ontology/concepts/relation,baseline,1,35.74297809973359,0
68,efforts/multi-agent-orchestration/implementation/harness/defect-reddington-state-mechanism,m2,0,56.8526319693774,0
68,efforts/multi-agent-orchestration/implementation/harness/defect-reddington-state-mechanism,baseline,1,38.80996513180435,0
69,index,m2,0,59.223348973318934,0
69,index,baseline,1,37.010223837569356,0
70,world/crew/concepts/inspector,baseline,0,36.685358034446836,0
70,world/crew/concepts/inspector,m2,1,56.23937794007361,0
71,mind/dialectic/axioms/index,m2,0,59.950286988168955,0
71,mind/dialectic/axioms/index,baseline,1,39.10886403173208,0
72,world/engineering/relations/produces,m2,0,61.75071815960109,0
72,world/engineering/relations/produces,baseline,1,37.45384304784238,0
73,world/engineering/concepts/failure-domain,baseline,0,37.47246600687504,0
73,world/engineering/concepts/failure-domain,m2,1,58.285798877477646,0
74,world/engineering/facts/wrong-abstraction-costs-more,m2,0,57.299158070236444,0
74,world/engineering/facts/wrong-abstraction-costs-more,baseline,1,36.862868117168546,0
75,efforts/multi-agent-orchestration/implementation/harness/t9a-task-2b-criteria-10-13,baseline,0,37.649429170414805,0
75,efforts/multi-agent-orchestration/implementation/harness/t9a-task-2b-criteria-10-13,m2,1,56.7731240298599,0
76,mind/ontology/concepts/process-boundary,m2,0,57.845296105369925,0
76,mind/ontology/concepts/process-boundary,baseline,1,41.17976990528405,0
77,mind/memory/rulings/index,m2,0,57.60768195614219,0
77,mind/memory/rulings/index,baseline,1,37.43025800213218,0
78,mind/ontology/concepts/one-dimensional-spatial-region,baseline,0,40.37672118283808,0
78,mind/ontology/concepts/one-dimensional-spatial-region,m2,1,56.54699192382395,0
79,world/engineering/conjectures/be-liberal-in-what-you-accept,m2,0,61.62241892889142,0
79,world/engineering/conjectures/be-liberal-in-what-you-accept,baseline,1,38.73463300988078,0
80,world/engineering/concepts/information-hiding,baseline,0,40.07412609644234,0
80,world/engineering/concepts/information-hiding,m2,1,61.49941892363131,0
81,world/crew/lessons/persist-failure-was-a-document-shape-mismatch-not-writer-disobedience,baseline,0,39.344741962850094,0
81,world/crew/lessons/persist-failure-was-a-document-shape-mismatch-not-writer-disobedience,m2,1,64.36058110557497,0
82,efforts/multi-agent-orchestration/implementation/harness/t9a-task-11-6-remediation-blocked,m2,0,62.984641874209046,0
82,efforts/multi-agent-orchestration/implementation/harness/t9a-task-11-6-remediation-blocked,baseline,1,40.00303288921714,0
83,world/engineering/stances/explicit-over-implicit,m2,0,62.69336794503033,0
83,world/engineering/stances/explicit-over-implicit,baseline,1,41.74916190095246,0
84,world/engineering/relations/exists-for,m2,0,63.63828293979168,0
84,world/engineering/relations/exists-for,baseline,1,40.613821940496564,0
85,efforts/multi-agent-orchestration/implementation/harness/m4/stage,baseline,0,42.19213989563286,0
85,efforts/multi-agent-orchestration/implementation/harness/m4/stage,m2,1,63.22612287476659,0
86,efforts/knowledge-compositor/spec-acceptance-ab3-ab6,baseline,0,38.81086502224207,0
86,efforts/knowledge-compositor/spec-acceptance-ab3-ab6,m2,1,63.31840483471751,0
87,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a13,m2,0,58.21575806476176,0
87,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a13,baseline,1,40.48764705657959,0
88,efforts/multi-agent-orchestration/implementation/harness/t9a-task-5-reconciled,m2,0,66.28063693642616,0
88,efforts/multi-agent-orchestration/implementation/harness/t9a-task-5-reconciled,baseline,1,40.295697981491685,0
89,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-4-result,baseline,0,43.64820895716548,0
89,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-4-result,m2,1,60.7422050088644,0
90,efforts/knowledge-compositor/tracker-m1,m2,0,60.43120310641825,0
90,efforts/knowledge-compositor/tracker-m1,baseline,1,41.59975401125848,0
91,world/engineering/concepts/cognitive-load,baseline,0,40.558918844908476,0
91,world/engineering/concepts/cognitive-load,m2,1,61.01784994825721,0
92,world/engineering/concepts/abstraction,baseline,0,40.681918850168586,0
92,world/engineering/concepts/abstraction,m2,1,61.98391388170421,0
93,world/engineering/individuals/twitter-blender-rewrite,baseline,0,39.8418300319463,0
93,world/engineering/individuals/twitter-blender-rewrite,m2,1,60.80159591510892,0
94,mind/ontology/concepts/continuant,baseline,0,39.4587148912251,0
94,mind/ontology/concepts/continuant,m2,1,63.0334229208529,0
95,.opencode/node_modules/toml/README,baseline,0,41.19436792097986,0
95,.opencode/node_modules/toml/README,m2,1,40.204657008871436,0
96,efforts/multi-agent-orchestration/implementation/harness/specification-constraints-c4-c9,baseline,0,41.442169109359384,0
96,efforts/multi-agent-orchestration/implementation/harness/specification-constraints-c4-c9,m2,1,61.804319033399224,0
97,mind/ontology/relations/occurrent-part-of,baseline,0,41.86966712586582,0
97,mind/ontology/relations/occurrent-part-of,m2,1,61.20358593761921,0
98,world/engineering/conjectures/never-optimize-early,baseline,0,39.9773430544883,0
98,world/engineering/conjectures/never-optimize-early,m2,1,61.918732011690736,0
99,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-3,baseline,0,41.37548408471048,0
99,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-3,m2,1,61.521810945123434,0
100,world/engineering/facts/postels-law-causes-ossification,baseline,0,42.27068601176143,0
100,world/engineering/facts/postels-law-causes-ossification,m2,1,61.55855697579682,0
101,.opencode/node_modules/effect/README,baseline,0,40.497545851394534,0
101,.opencode/node_modules/effect/README,m2,1,40.960168931633234,0
102,mind/ontology/concepts/one-dimensional-temporal-region,baseline,0,41.877532145008445,0
102,mind/ontology/concepts/one-dimensional-temporal-region,m2,1,58.870150009170175,0
103,world/engineering/relations/registers,baseline,0,39.78662798181176,0
103,world/engineering/relations/registers,m2,1,60.296001145616174,0
104,efforts/multi-agent-orchestration/stage,m2,0,61.28482706844807,0
104,efforts/multi-agent-orchestration/stage,baseline,1,40.81926494836807,0
105,world/engineering/rulings/2026-08-31-lean-on-minimax-m3-for-delegable-token-load,m2,0,64.005778869614,0
105,world/engineering/rulings/2026-08-31-lean-on-minimax-m3-for-delegable-token-load,baseline,1,38.79568702541292,0
106,efforts/multi-agent-orchestration/implementation/harness/ruling-a12-grounds,m2,0,70.8289691247046,0
106,efforts/multi-agent-orchestration/implementation/harness/ruling-a12-grounds,baseline,1,42.02636890113354,0
107,mind/ontology/relations/temporal-part-of,baseline,0,46.3971309363842,0
107,mind/ontology/relations/temporal-part-of,m2,1,65.60010393150151,0
108,world/crew/observations/2026-08-28-result-paraphrase-fixed-mid-audit,baseline,0,48.19721099920571,0
108,world/crew/observations/2026-08-28-result-paraphrase-fixed-mid-audit,m2,1,65.1756429579109,0
109,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-6,baseline,0,45.26212997734547,0
109,efforts/multi-agent-orchestration/implementation/harness/t9a-task-9-6,m2,1,64.54148888587952,0
110,.opencode/node_modules/@ai-sdk/provider/README,baseline,0,42.21755592152476,0
110,.opencode/node_modules/@ai-sdk/provider/README,m2,1,46.30297399125993,0
111,world/crew/concepts/report-checker,m2,0,61.303541995584965,0
111,world/crew/concepts/report-checker,baseline,1,41.644507087767124,0
112,world/engineering/patterns/seam-availability-decides-migration-versus-rewrite,m2,0,63.56833013705909,0
112,world/engineering/patterns/seam-availability-decides-migration-versus-rewrite,baseline,1,44.79775414802134,0
113,efforts/knowledge-compositor/m1/design-baseline,m2,0,59.41290291957557,0
113,efforts/knowledge-compositor/m1/design-baseline,baseline,1,39.07794412225485,0
114,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a9,m2,0,63.33404313772917,0
114,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a9,baseline,1,38.02011790685356,0
115,world/crew/lessons/stage-explicit-paths-in-the-shared-graph-repo,m2,0,61.11593311652541,0
115,world/crew/lessons/stage-explicit-paths-in-the-shared-graph-repo,baseline,1,40.93598295003176,0
116,world/crew/concepts/developer,baseline,0,39.427826879546046,0
116,world/crew/concepts/developer,m2,1,58.4325110539794,0
117,mind/memory/ideas/2026-08-30-five-lifecycle-points-per-element,m2,0,58.576862094923854,0
117,mind/memory/ideas/2026-08-30-five-lifecycle-points-per-element,baseline,1,37.93322597630322,0
118,efforts/knowledge-compositor/spec-requirements,m2,0,57.02371010556817,0
118,efforts/knowledge-compositor/spec-requirements,baseline,1,38.78709115087986,0
119,mind/memory/ideas/2026-08-31-layer-storage-substrate,baseline,0,38.67697506211698,0
119,mind/memory/ideas/2026-08-31-layer-storage-substrate,m2,1,58.581101009622216,0
120,efforts/multi-agent-orchestration/implementation/harness/m3/t5a-criteria-1-7,baseline,0,37.76689595542848,0
120,efforts/multi-agent-orchestration/implementation/harness/m3/t5a-criteria-1-7,m2,1,58.14521387219429,0
121,world/engineering/patterns/change-cost-dominates-total-cost,m2,0,59.118944220244884,0
121,world/engineering/patterns/change-cost-dominates-total-cost,baseline,1,37.816769909113646,0
122,efforts/multi-agent-orchestration/implementation/harness/dependency-order-revisions,m2,0,57.45582701638341,0
122,efforts/multi-agent-orchestration/implementation/harness/dependency-order-revisions,baseline,1,38.30570192076266,0
123,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r15,baseline,0,37.76451200246811,0
123,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r15,m2,1,56.2159139662981,0
124,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r8-r10,m2,0,58.04313300177455,0
124,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r8-r10,baseline,1,36.632447969168425,0
125,world/engineering/objections/2026-08-29-knuth-argued-for-measurement-not-deferral,m2,0,58.937805937603116,0
125,world/engineering/objections/2026-08-29-knuth-argued-for-measurement-not-deferral,baseline,1,39.5606248639524,0
126,efforts/multi-agent-orchestration/implementation/harness/tracker,m2,0,58.49278415553272,0
126,efforts/multi-agent-orchestration/implementation/harness/tracker,baseline,1,39.17557606473565,0
127,world/engineering/concepts/strictness,baseline,0,37.407044088467956,0
127,world/engineering/concepts/strictness,m2,1,59.73380105569959,0
128,mind/dialectic/axioms/determinacy-of-signification,baseline,0,40.642665000632405,0
128,mind/dialectic/axioms/determinacy-of-signification,m2,1,58.51573799736798,0
129,efforts/why-plug-nvim/design/routing-resolution-algorithm,baseline,0,38.735362933948636,0
129,efforts/why-plug-nvim/design/routing-resolution-algorithm,m2,1,59.091603150591254,0
130,world/crew/concepts/failure-notification,baseline,0,39.075098000466824,0
130,world/crew/concepts/failure-notification,m2,1,56.83152191340923,0
131,world/crew/observations/2026-08-28-orchestrator-reported-running-on-no-failure-notification,baseline,0,38.3354180958122,0
131,world/crew/observations/2026-08-28-orchestrator-reported-running-on-no-failure-notification,m2,1,56.36743502691388,0
132,world/engineering/conjectures/test-first-has-no-measurable-effect,m2,0,58.05347510613501,0
132,world/engineering/conjectures/test-first-has-no-measurable-effect,baseline,1,38.53351599536836,0
133,world/why-plug-nvim/concepts/routing,m2,0,58.83256020024419,0
133,world/why-plug-nvim/concepts/routing,baseline,1,38.69781387038529,0
134,world/engineering/facts/long-context-recall-degrades-in-the-middle,m2,0,59.04118693433702,0
134,world/engineering/facts/long-context-recall-degrades-in-the-middle,baseline,1,37.48742491006851,0
135,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r12-response-mode,baseline,0,38.751964922994375,0
135,efforts/multi-agent-orchestration/implementation/harness/specification-requirements-r12-response-mode,m2,1,56.443698005750775,0
136,mind/ontology/concepts/action,baseline,0,37.43914398364723,0
136,mind/ontology/concepts/action,m2,1,57.17430217191577,0
137,mind/dialectic/models/index,baseline,0,36.489039892330766,0
137,mind/dialectic/models/index,m2,1,54.81122015044093,0
138,efforts/multi-agent-orchestration/implementation/design-agent-packaging,m2,0,59.513590997084975,0
138,efforts/multi-agent-orchestration/implementation/design-agent-packaging,baseline,1,35.975519800558686,0
139,world/crew/conjectures/index,baseline,0,38.79035613499582,0
139,world/crew/conjectures/index,m2,1,56.98729516007006,0
140,efforts/knowledge-compositor/m1/stage,baseline,0,35.77476507052779,0
140,efforts/knowledge-compositor/m1/stage,m2,1,56.27277004532516,0
141,mind/epistemology/concepts/event-document,baseline,0,36.66326496750116,0
141,mind/epistemology/concepts/event-document,m2,1,54.42195315845311,0
142,.opencode/node_modules/msgpackr/README,m2,0,36.67581896297634,0
142,.opencode/node_modules/msgpackr/README,baseline,1,36.77617502398789,0
143,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit,m2,0,57.96265392564237,0
143,efforts/multi-agent-orchestration/implementation/harness/m1/design/audit,baseline,1,39.081569062545896,0
144,efforts/knowledge-compositor/spec-requirements-r13-r15,m2,0,56.707231095060706,0
144,efforts/knowledge-compositor/spec-requirements-r13-r15,baseline,1,38.31770201213658,0
145,mind/dialectic/rulings/2026-08-29-three-axioms-hinges-and-denies,m2,0,61.984163941815495,0
145,mind/dialectic/rulings/2026-08-29-three-axioms-hinges-and-denies,baseline,1,38.06411987170577,0
146,efforts/multi-agent-orchestration/implementation/harness/defects/opencode-task-tool-not-inherited,m2,0,59.646646957844496,0
146,efforts/multi-agent-orchestration/implementation/harness/defects/opencode-task-tool-not-inherited,baseline,1,38.05488394573331,0
147,efforts/knowledge-compositor/m4/design-lawtests,baseline,0,37.59934287518263,0
147,efforts/knowledge-compositor/m4/design-lawtests,m2,1,57.105302112177014,0
148,world/crew/concepts/task-scoping,m2,0,59.36321895569563,0
148,world/crew/concepts/task-scoping,baseline,1,37.860040087252855,0
149,world/why-plug-nvim/concepts/index,m2,0,59.12520410493016,0
149,world/why-plug-nvim/concepts/index,baseline,1,35.904068034142256,0
150,mind/index,m2,0,58.186531998217106,0
150,mind/index,baseline,1,38.975531002506614,0
151,mind/ontology/relations/concretizes,m2,0,58.26054001227021,0
151,mind/ontology/relations/concretizes,baseline,1,38.185327081009746,0
152,world/engineering/patterns/boundaries-follow-change-not-nouns,baseline,0,35.31854506582022,0
152,world/engineering/patterns/boundaries-follow-change-not-nouns,m2,1,56.05189595371485,0
153,mind/dialectic/concepts/contrary,m2,0,61.2507329788059,0
153,mind/dialectic/concepts/contrary,baseline,1,37.391053047031164,0
154,efforts/multi-agent-orchestration/implementation/harness/t9a-task-10-5,m2,0,63.5277449619025,0
154,efforts/multi-agent-orchestration/implementation/harness/t9a-task-10-5,baseline,1,38.17058983258903,0
155,world/engineering/objections/2026-08-29-escape-hatch-would-defeat-explicitness,baseline,0,38.317334139719605,0
155,world/engineering/objections/2026-08-29-escape-hatch-would-defeat-explicitness,m2,1,59.81949018314481,0
156,mind/memory/index,m2,0,60.23107888177037,0
156,mind/memory/index,baseline,1,39.40114611759782,0
157,world/engineering/concepts/monolith,baseline,0,44.56491908058524,0
157,world/engineering/concepts/monolith,m2,1,64.7536430042237,0
158,efforts/nix-dev-env/stage,m2,0,64.3867279868573,0
158,efforts/nix-dev-env/stage,baseline,1,42.7048159763217,0
159,efforts/multi-agent-orchestration/implementation/harness/m7/design/config-validation,m2,0,64.7840490564704,0
159,efforts/multi-agent-orchestration/implementation/harness/m7/design/config-validation,baseline,1,41.259707883000374,0
160,world/engineering/conjectures/design-for-deletion,m2,0,62.593367882072926,0
160,world/engineering/conjectures/design-for-deletion,baseline,1,40.82674905657768,0
161,world/crew/individuals/codecompanion-lua-config,m2,0,62.68476089462638,0
161,world/crew/individuals/codecompanion-lua-config,baseline,1,40.52703804336488,0
162,world/engineering/concepts/test,m2,0,60.83947513252497,0
162,world/engineering/concepts/test,baseline,1,39.493157994002104,0
163,world/engineering/concepts/over-capacity,m2,0,61.21863215230405,0
163,world/engineering/concepts/over-capacity,baseline,1,40.81666097044945,0
164,world/engineering/individuals/rfc-761,baseline,0,41.77845502272248,0
164,world/engineering/individuals/rfc-761,m2,1,59.79941296391189,0
165,efforts/knowledge-compositor/spec-non-goals,m2,0,57.42312618531287,0
165,efforts/knowledge-compositor/spec-non-goals,baseline,1,39.83240085653961,0
166,efforts/multi-agent-orchestration/implementation/harness/m7/requirements,baseline,0,40.39467289112508,0
166,efforts/multi-agent-orchestration/implementation/harness/m7/requirements,m2,1,58.63439803943038,0
167,efforts/knowledge-compositor/spec-requirements-r24-r26,baseline,0,39.28666189312935,0
167,efforts/knowledge-compositor/spec-requirements-r24-r26,m2,1,58.36032587103546,0
168,world/engineering/concepts/lifetime-cost,m2,0,55.23669417016208,0
168,world/engineering/concepts/lifetime-cost,baseline,1,36.97597701102495,0
169,world/crew/facts/absence-of-failure-notification-is-not-evidence-of-progress,m2,0,56.556949159130454,0
169,world/crew/facts/absence-of-failure-notification-is-not-evidence-of-progress,baseline,1,36.52460593730211,0
170,efforts/multi-agent-orchestration/implementation/harness/specification-acceptance-a12,m2,0,55.21011305972934,0
